L,Vd,Lc,D,L_1,Vd_1,Lc_1,D_1
1,2,1,2,2,2,1,1
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
2,0,1,1,1,2,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,2,1,1,1,0,1,2
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
1,2,1,2,2,2,1,1
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
0,2,1,0,1,2,1,2
2,0,1,1,0,2,1,0
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
0,0,1,0,2,0,1,1
1,0,1,2,0,0,1,0
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
0,0,1,0,1,0,1,2
0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0
2,0,1,1,0,0,1,0
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
0,0,1,0,1,0,1,2
0,0,1,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,2,1,2,1,0,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
2,2,1,1,1,2,1,2
1,2,1,2,2,2,1,1
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
2,0,1,1,1,2,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
0,1,0,0,2,0,1,1
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
1,1,1,2,0,1,0,0
1,2,1,2,1,1,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
0,2,1,0,1,2,1,2
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
1,2,1,2,0,2,1,0
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
2,2,1,1,1,2,1,2
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
1,2,1,2,2,2,1,1
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,0,1,2,1,2,1,2
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
0,1,0,0,2,0,1,1
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,1,0,0,1,0,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
2,2,1,1,0,1,1,0
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
1,2,1,2,2,2,1,1
0,1,1,0,1,2,1,2
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
1,0,1,2,0,1,1,0
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,1,1,2,1,0,1,2
0,1,1,0,1,1,1,2
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
1,1,1,2,0,1,1,0
2,2,1,1,1,1,1,2
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
1,0,1,2,2,2,1,1
2,1,1,1,1,0,1,2
2,1,1,1,2,1,1,1
0,1,1,0,2,1,1,1
2,1,1,1,0,1,1,0
2,1,1,1,2,1,1,1
1,0,1,2,2,1,1,1
2,0,1,1,1,0,1,2
1,0,1,2,2,0,1,1
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,2,1,1,2,0,1,1
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
2,0,1,1,2,2,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
0,1,1,0,2,0,1,1
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
1,1,1,2,0,1,1,0
1,1,1,2,1,1,1,2
1,1,1,2,1,1,1,2
0,1,1,0,1,1,1,2
0,1,1,0,0,1,1,0
1,0,1,2,0,1,1,0
1,0,1,2,1,0,1,2
0,0,0,0,1,0,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,0,2,1,0,0,2
1,0,1,2,1,0,0,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,0,1,2,0,1,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
2,0,0,1,2,0,0,1
0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
2,1,0,1,0,1,0,0
0,1,0,0,2,1,0,1
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,1,0,0,1,0,0
0,1,1,0,0,1,1,0
0,2,1,0,0,1,1,0
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
1,0,1,2,0,2,1,0
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,1,0,2,1,0,1,2
2,1,0,1,1,1,0,2
2,1,0,1,2,1,0,1
2,1,0,1,2,1,0,1
2,1,0,1,2,1,0,1
2,1,0,1,2,1,0,1
0,1,0,0,2,1,0,1
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,1,0,0,1,0,0
0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0
1,1,1,2,0,1,1,0
1,1,1,2,1,1,1,2
1,1,1,2,1,1,1,2
1,1,1,2,1,1,1,2
0,1,1,0,1,1,1,2
1,0,1,2,0,1,1,0
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,2,1,2,1,0,1,2
2,2,1,1,1,2,1,2
0,2,1,0,2,2,1,1
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
1,2,1,2,0,2,1,0
0,2,1,0,1,2,1,2
1,2,1,2,0,2,1,0
2,2,1,1,1,2,1,2
2,0,1,1,2,2,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
0,0,0,0,1,0,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0
0,0,0,0,1,0,1,2
0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
2,1,0,1,0,1,0,0
0,1,0,0,2,1,0,1
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
1,1,0,2,0,1,0,0
1,1,0,2,1,1,0,2
0,1,0,0,1,1,0,2
0,1,1,0,0,1,0,0
1,0,1,2,0,1,1,0
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
1,0,1,2,1,0,1,2
2,0,1,1,1,0,1,2
2,0,1,1,2,0,1,1
2,0,1,1,2,0,1,1
1,0,1,2,2,0,1,1
2,0,1,1,1,0,1,2
1,2,1,2,2,0,1,1
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
1,2,1,2,1,2,1,2
0,2,1,0,1,2,1,2
0,2,1,0,0,2,1,0
0,2,1,0,0,2,1,0
1,2,1,2,0,2,1,0
1,2,1,2,1,2,1,2
2,2,1,1,1,2,1,2
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
1,2,1,2,2,2,1,1
2,2,1,1,1,2,1,2
2,2,1,1,2,2,1,1
2,2,1,1,2,2,1,1
